Word,Category,Definition,Definition,Definition,Definition,Definition,Definition,Definition,Definition,ExampleW,ExampleD,ExampleW,ExampleD,ExampleW,ExampleD,QuoteW,QuoteD,QuoteS,QuoteW,QuoteD,QuoteS
God,noun,"Паз, Инешкипаз",,,,,,,,"chief god, main god",Вере Паз,sun god,Чипаз,fire god,толонь паз,"I am the God of Abraham, the God of Isaac, and the God of Jacob? He is not the God of the dead but of the living.","Сон мерьсь: Мон Авраамонь Пазось, Исааконь Пазось, а Іаковонь Пазось. Пазось ведь аволь кулозтьнень Паз, а эрицятнень Паз. ",Святое Евангелие (1910) translated by М. Е. Евсевьев,"Now about the dead rising—have you not read in the Book of Moses, in the account of the burning bush, how God said to him, ‘I am the God of Abraham, the God of Isaac, and the God of Jacob?","А кулозтьнень вельмимадо ара эзьде ловнок тынь Моисеень книгатьнесэ, кода Пазось каль куракш вакснэ мерьсь тензэ: Мон Авраамонь Пазан, Исааконь Пазан, да Іаковонь Пазан.",Святое Евангелие (1910) translated by М. Е. Евсевьев
hopeless,adjective,седейнежевтеме,,,,,,,,,,,,,,,,,,,
washable,adjective,муськевикс,,,,,,,,,,,,,,,,,,,
a,noun,а тешксэсь,,,,,,,,,,,,,,,,,,,
a,determiner,"(гласнойде икеле an), аволь определённой артикл",,,,,,,,,,,,,,,,,,,
a lot of,determiner,ламо,,,,,,,,,,,,,,,,,,,
a.m.,noun,валске марто,,,,,,,,,,,,,,,,,,,
aback,adverb,"удал ёндо, удал ёнт",,,,,,,,,,,,,,,,,,,
abandon,verb,кадомс,,,,,,,,,,,,,,,,,,,
abbreviate,verb,киртямс (вал),,,,,,,,,,,,,,,,,,,
abbreviation,noun,киртянь вал,,,,,,,,,,,,,,,,,,,
abdomen,noun,пеке,,,,,,,,,,,,,,,,,,,
abduct,verb,саламс (ломань ковгак),,,,,,,,,,,,,,,,,,,
abduction,noun,ломанень саламо,,,,,,,,,,,,,,,,,,,
abide,verb,цидярдомс,,,,,,,,,,,,,,,,,,,
ability,noun,"ёрокчи, маштомачи",,,,,,,,,,,,,,,,,,,
ablaze,adjective,толпотсо,,,,,,,,,,,,,,,,,,,
able,adjective,маштома марто,,,,,,,,,,,,,,,,,,,
abnormal,adjective,аволь лиятнень кондямо,,,,,,,,,,,,,,,,,,,
abolish,verb,путомс пе,,,,,,,,,,,,,,,,,,,
aborigine,noun,абориген,,,,,,,,,,,,,,,,,,,
abortion,noun,эйдень каявтома,,,,,,,,,,,,,,,,,,,
about,preposition,"ланга, -до, перька",,,,,,,,,,,,,,,,,,,
above,preposition,вельксс ,велькссэ ,велькска,,,,,,,,,,,,,,,,,
abroad,adverb,омбо масторо,,,,,,,,,,,,,,,,,,,
abrupt,adjective,"апак учонь, аваланя",,,,,,,,,,,,,,,,,,,
abscess,noun,"комадоньпал, орво, сукаодар",,,,,,,,,,,,,,,,,,,
absence,noun,"аразь, аразьчи",,,,,,,,,,,,,,,,,,,
absent,adjective,арась,,,,,,,,,,,,,,,,,,,
absolutely,adjective,вал арась,,,,,,,,,,,,,,,,,,,
absorb,verb,сотямс,,,,,,,,,,,,,,,,,,,
abstain,verb,а теемс,,,,,,,,,,,,,,,,,,,
abstract,adjective,"чарькодевксэнь, абстрактной",,,,,,,,,,,,,,,,,,,
absurd,adjective,превтемень,,,,,,,,,,,,,,,,,,,
abundance,noun,ламочи,,,,,,,,,,,,,,,,,,,
