Word,Definition,Category,ExampleW,ExampleD,ExampleW,ExampleD,ExampleW,ExampleD,QuoteW,QuoteD,QuoteS,QuoteW,QuoteD,QuoteS
God,Паз; Инешкипаз,noun,good God!,Вере Паз!,thank God,Пазнэнь сюкпря,only god knows,ве паз соды,"When Jesus heard this, he said, “This sickness will not lead to death, but to God’s glory, so that the Son of God may be glorified through it.”","Тень марязь, Іисус мерьсь: те ормась аволь куломанень, а Пазонть славакс; сонзэ кувалма лисевель-бу шнавицякс Пазонть Цёрась.","Святое Евангелие, 1910","“Leave us alone, Jesus the Nazarene! Have you come to destroy us? I know who you are – the Holy One of God!”","Кадымизь минек, Назаретэнь Іисус, Тонеть мень тев минек эйсэ, Тон сыть минек маштомо, содатан кіят Тон: Тон Пазонть Святоезат.","Святое Евангелие, 1910"
hopeless,седейнежевтеме,,,,,,,,,,,,,
washable,муськевикс,,,,,,,,,,,,,
a,а тешксэсь,,,,,,,,,,,,,
a,(гласнойде икеле an); аволь определённой артикл,,,,,,,,,,,,,
a lot of,ламо,,,,,,,,,,,,,
a.m.,валске марто,,,,,,,,,,,,,
aback,удал ёндо; удал ёнт,,,,,,,,,,,,,
abandon,кадомс,,,,,,,,,,,,,
abbreviate,киртямс (вал),,,,,,,,,,,,,
abbreviation,киртянь вал,,,,,,,,,,,,,
abdomen,пеке,,,,,,,,,,,,,
abduct,саламс (ломань ковгак),,,,,,,,,,,,,
abduction,ломанень саламо,,,,,,,,,,,,,
abide,цидярдомс,,,,,,,,,,,,,
ability,ёрокчи; маштомачи,,,,,,,,,,,,,
ablaze,толпотсо,,,,,,,,,,,,,
able,маштома марто,,,,,,,,,,,,,
abnormal,аволь лиятнень кондямо,,,,,,,,,,,,,
abolish,путомс пе,,,,,,,,,,,,,
aborigine,абориген,,,,,,,,,,,,,
abortion,эйдень каявтома,,,,,,,,,,,,,
about,ланга; -до; перька,,,,,,,,,,,,,
above,1. вельксс 2. велькссэ 3. велькска,,,,,,,,,,,,,
abroad,омбо масторо,,,,,,,,,,,,,
abrupt,апак учонь; аваланя,,,,,,,,,,,,,
abscess,комадоньпал; орво; сукаодар,,,,,,,,,,,,,
absence,аразь; аразьчи,,,,,,,,,,,,,
absent,арась,,,,,,,,,,,,,
absolutely,вал арась,,,,,,,,,,,,,
absorb,сотямс,,,,,,,,,,,,,
abstain,а теемс,,,,,,,,,,,,,
abstract,чарькодевксэнь; абстрактной,,,,,,,,,,,,,
absurd,превтемень,,,,,,,,,,,,,
abundance,ламочи,,,,,,,,,,,,,
abundant,ламочисэ; сатышка,,,,,,,,,,,,,
abuse,1. атевс нолдамо 2. сёвнома 3. нарьгамо,,,,,,,,,,,,,
